第0世代
f1,f2
163.49,3.02108,0
148.845,20.1203,0
154.425,12.5364,0
161.208,9.89587,0
162.628,3.90187,0
157.17,11.8966,0
159.902,11.7626,0
166.688,11.0087,1
150.17,32.4119,1
153.892,20.594,1
152.263,28.6689,1
162.14,13.2078,1
155.555,15.1079,1
157.828,15.0284,1
167.768,11.9387,2
152.135,83.643,2
162.521,15.0834,2
153.001,53.4826,2
153.301,32.2595,2
157.633,16.168,2
152.63,71.0036,2
155.26,27.9535,2
157.16,25.4225,2
157.135,26.6789,2
170.725,16.1746,3
153.319,85.2575,3
161.252,16.3871,3
154.193,48.1673,3
153.826,71.2486,3
155.773,31.7248,3
158.64,17.5584,3
157.9,20.6535,3
156.033,29.7886,3
157.523,28.2661,3
157.851,26.3044,3
157.768,27.557,3
173.472,17.9195,4
153.947,86.2196,4
154.902,81.0219,4
155.849,34.4871,4
159.872,18.274,4
157.876,27.4191,4
156.59,30.4359,4
158.108,23.2772,4
158.792,20.3473,4
156.315,34.234,4
159.518,19.9531,4
159.793,18.719,4
160.467,19.1416,5
156.491,60.6578,5
156.761,32.2743,5
158.415,28.8543,5
159.22,22.5325,5
164.805,19.4465,6
156.908,40.9823,6
157.353,36.5982,6
160.82,26.2323,6
158.679,29.8243,6
162.346,20.5241,6
161.099,21.2681,6
159.163,29.1974,6
168.261,19.836,7
157.14,71.6131,7
157.226,44.2196,7
165.47,20.4982,7
160.89,26.3212,7
159.936,31.9348,7
160.167,30.0638,7
166.56,21.0321,8
157.643,53.6263,8
160.444,39.0337,8
158.495,49.3153,8
165.635,21.4391,8
163.607,26.5993,8
161.864,27.3958,8
161.619,31.9585,8
160.508,35.7248,8
161.14,33.4805,8
158.447,52.5882,8
163.026,27.129,8
175.465,21.3523,9
158.193,71.4554,9
168.393,25.5141,9
161.163,35.4878,9
160.093,50.0643,9
158.515,57.7425,9
163.73,27.9768,9
164.218,26.7826,9
158.447,68.6429,9
158.365,70.6906,9
175.511,24.244,10
158.631,58.6485,10
166.395,26.7888,10
161.173,53.7851,10
161.302,39.4032,10
163.862,31.0902,10
160.685,58.57,10
162.909,36.0409,10
166.107,29.3181,10
162.277,37.7083,10
161.915,38.6248,10
173.143,27.8174,11
158.731,67.9331,11
161.423,45.5111,11
160.433,60.2982,11
167.103,28.0585,11
170.851,28.0004,11
163.827,42.3734,11
164.031,36.1229,11
158.896,63.7422,11
161.495,43.8388,11
166.027,32.5916,11
165.799,33.5943,11
160.231,61.5288,11
173.603,29.0497,12
158.843,73.9111,12
161.477,46.9578,12
169.016,31.6948,12
172.552,31.398,12
168.186,35.9397,12
164.038,46.5739,12
165.892,36.4774,12
164.258,41.3607,12
164.517,37.215,12
170.193,33.2383,13
161.678,47.5539,13
164.628,38.8885,13
165.948,36.7137,13
170.135,37.3738,14
163.534,48.6143,14
164.861,42.3236,14
167.657,38.1283,14
165.577,39.1838,14
171.567,38.2838,15
163.963,49.8346,15
165.825,39.6591,15
170.264,38.7181,15
165.413,46.0937,15
165.088,47.4339,15
171.14,38.3918,15
173.431,40.4423,16
164.027,54.3769,16
167.263,40.5356,16
166.165,41.5777,16
165.708,49.2726,16
164.371,50.7003,16
165.657,49.5095,16
169.902,42.084,17
164.093,69.4006,17
167.287,43.1941,17
165.107,54.1632,17
164.225,59.3689,17
169.256,42.8565,17
164.306,55.907,17
170.242,43.1834,18
164.915,58.5692,18
167.693,43.5107,18
167.476,53.813,18
166.278,57.6381,18
169.57,43.7877,19
165.211,63.9227,19
168.058,50.9067,19
166.823,59.4834,19
166.077,62.4569,19
175.351,44.1362,20
165.799,67.4035,20
169.674,44.9135,20
173.198,44.4956,20
168.263,57.1773,20
166.913,63.4875,20
169.272,53.1566,20
166.288,64.8701,20
169.055,54.8612,20
172.142,45.3049,21
167.117,64.9607,21
168.673,62.176,21
169.328,55.1386,21
169.701,52.7043,21
170.808,47.7028,21
170.64,48.8257,21
175.47,48.0852,22
167.706,81.8777,22
174.266,50.5141,22
170.208,54.2433,22
169.859,60.6502,22
168.871,68.9655,22
167.832,73.6617,22
168.357,71.771,22
169.932,55.5203,22
171.349,56.3055,23
168.798,77.6668,23
170.184,59.6181,23
169.16,71.6678,23
173.635,58.7449,24
171.608,69.2549,24
173.193,65.1323,24
173.273,62.9301,24
174.269,61.1709,25
172.002,72.4464,25
173.876,64.2217,25
第1世代
f1,f2
163.49,3.02108,0
148.415,35.6258,0
148.845,20.1203,0
161.208,9.89587,0
156.048,11.5361,0
154.425,12.5364,0
151.773,15.3979,0
150.573,16.5601,0
162.628,3.90187,0
162.953,3.88943,0
163.25,7.56609,1
150.17,32.4119,1
153.892,20.594,1
152.263,28.6689,1
155.555,15.1079,1
157.17,11.8966,1
160.383,11.7539,1
159.902,11.7626,1
166.688,11.0087,2
151.63,68.2437,2
159.5,13.1244,2
151.975,63.495,2
152.333,42.7139,2
155.26,27.9535,2
153.175,31.8617,2
156.5,21.0481,2
152.735,39.8442,2
157.828,15.0284,2
157.24,17.7022,2
157.633,16.168,2
167.768,11.9387,3
152.128,100.428,3
162.14,13.2078,3
153.001,53.4826,3
152.63,71.0036,3
152.135,83.643,3
153.301,32.2595,3
159.842,14.0254,3
156.915,22.6175,3
154.423,32.2523,3
156.17,28.3759,3
155.773,31.7248,3
158.798,16.6054,3
157.9,20.6535,3
158.223,17.9745,3
156.033,29.7886,3
158.64,17.5584,3
157.932,20.4535,3
166.56,14.8458,4
153.045,56.3699,4
154.193,48.1673,4
154.611,34.9012,4
162.521,15.0834,4
