第1世代
f1,f2
161.75,1.95506
160,3.42857
150,5.37313
146.5,5.55556
141.25,15
132.75,18.1818
132,23.6842
125,24.507
155.25,5.81928
149.75,7.5
148.333,19.2
133.75,20.9524
130.167,34.898
151.75,16.7742
135.25,24
157,28.5406
155.25,29.3981
150.083,31.5721
144,32.1185
143.75,36.4488
第1世代
f1,f2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
第1世代
f1,f2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
第1世代
f1,f2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
第1世代
f1,f2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
第1世代
f1,f2
122,25.7143
125.75,24.5902
138.75,14.2105
143.25,12.1739
146,10
151,7.77778
151.5,7.74194
158.75,2.33766
124.5,30.6122
135.167,29.2174
138,24.75
139.333,22.7872
147.25,16.8277
155,9.85862
159.75,5.86517
159.917,4.65306
131.5,53.6883
134.75,45.0624
140.25,36.0113
140.5,31.4165
第1世代
f1,f2
122.333,40.1489
123,26.087
124.25,19.25
135.75,14.7778
151,12.7667
155.25,2.6087
168,1.18182
123,80.1813
135,19.7143
136.5,16.2857
141.5,15.9677
155.75,8.70752
156.25,8.11517
156.5,2.72093
136.5,24
146.083,17.1409
161.333,4.57732
136.5,49.0139
137.333,31.6675
140.25,29.8685
第1世代
f1,f2
165,2.36364
156.25,2.5
144.5,10.8
140,15.6771
131.25,20.7692
128.5,20.8
128.5,28.3483
132.75,26.8242
147.917,19.7755
151.25,19.2271
153.333,11.2418
156.5,10.6071
134,42.9485
134.75,38.5905
141.25,33.4381
148,24.6216
148.25,23.4772
152.583,21.2401
154.333,11.4433
142,55.7909
第1世代
f1,f2
122,45.4545
124.25,25.5882
130,21.2903
143.917,15.4737
146,8.57143
149.75,8.38847
151.75,4.89796
158.5,1.79104
124.25,28.8621
135.167,27.6316
140.5,27
145.5,26.5132
146.75,12.127
149.25,11.1429
158.75,4
136.5,59.579
142.75,37.77
145,30.0137
147.75,26.7901
149.75,14.3382
第1世代
f1,f2
123.25,25.7711
124.5,24.4737
130.25,21
148.5,12.8282
149,9.56522
150,7.94118
157.25,0.769231
135.5,27.1172
139.75,24.2124
142.25,24.1041
144.333,21.7423
148.833,14.1064
151.333,13.732
156.833,10.299
159.917,7.98412
163.333,2.17021
136.25,31.0208
147.5,23.6458
149.667,17.6842
155.5,15.666
第1世代
f1,f2
129.25,48.1662
130.5,27.4231
133,17.9104
145.75,17.6364
149.25,7.48193
149.5,6
150.5,1
131.917,29.8421
143.5,29.5492
145,21.4717
150,6
152,1.53846
138,89.6923
142.75,55.7955
143.5,30.5
147.25,26.3796
150.75,14.0687
152.75,2.26415
160.25,1.86207
143.75,68.8104
第1世代
f1,f2
127,28.8889
138.75,13.3333
144.25,9.16667
152.75,6.07595
158.25,5.94481
134.75,53.4642
139.5,23.6125
142,20.9311
142.25,13.8462
146.25,9.70588
159.083,6.86598
140,26.3507
150,26.0837
151.25,23.5115
156.083,22.0292
158.25,10.7982
164.083,7.60012
