第0世代
f1,f2
162.586,0
147.314,12.0339
150.105,9.02778
152.396,8.66667
155.99,4.83333
157.893,3.07692
163.729,0
161.21,4.32892
158.585,6.54545
152.401,9.83735
163.761,0
156.022,10.8333
149.977,17.0972
162.422,7.28516
165.671,0
164.197,10.6523
151.353,18.6552
164.256,9.18955
150.943,20.7449
150.833,21.1448
145.862,26.7701
167.97,0
150,28.0067
160.341,21.2969
166.45,10.7152
166.932,0.857143
169.675,0
166.945,4.92109
167.947,4.72727
163.95,31.9094
164.395,24.7255
170.062,0
164.213,33.721
170.043,6.52247
169.465,15.4987
170.421,0
169.637,25.2076
170.265,24.4311
171.873,0
170.445,3.65242
172.205,0
170.526,9.27397
172.375,0
172.308,8.91225
172.722,0
172.528,2.81561
173.751,0
173.093,35.8685
173.71,18.9898
174.523,0
第1世代
f1,f2
162.586,0
157.247,4.79452
157.893,3.07692
146.288,6.14035
155.99,4.83333
163.729,0
158.993,3.38028
145.862,26.7701
147.314,12.0339
146.822,22.479
149.777,9.74684
152.396,8.66667
158.585,6.54545
150.105,9.02778
155.119,7.13043
163.761,0
149.977,17.0972
161.21,4.32892
151.185,9.74684
160.255,7.10526
157.01,7.26027
155.474,9.375
165.671,0
150,28.0067
151.353,18.6552
150.943,20.7449
150.833,21.1448
152.401,9.83735
162.422,7.28516
158.68,9.34211
167.97,0
150.603,42.2169
152.788,16.6
161.551,10.125
156.022,10.8333
164.256,9.18955
153.028,11.7303
153,14.0486
166.183,0.897436
166.932,0.857143
169.675,0
152.798,24.1706
164.197,10.6523
166.945,4.92109
167.947,4.72727
156.147,12.5449
170.062,0
168.537,6.73077
168.001,7.88761
155.763,20.4381
第2世代
f1,f2
146.96,0
132.727,27.1067
146.288,6.14035
137.405,14
145.312,8.31325
139.911,9.46667
150.949,2.57576
150.105,9.02778
143.401,9.70149
145.862,26.7701
147.314,12.0339
146.822,22.479
149.777,9.74684
152.396,8.66667
155.99,4.83333
155.119,7.13043
162.586,0
147.535,17.7273
157.01,7.26027
155.474,9.375
157.893,3.07692
157.247,4.79452
151.185,9.74684
163.729,0
148.147,31.0748
148.837,20.2055
157.533,8.84698
152.401,9.83735
149.855,14.346
158.585,6.54545
158.993,3.38028
163.761,0
149.977,17.0972
160.023,3.91892
153.028,11.7303
153,14.0486
152.788,16.6
158.68,9.34211
156.022,10.8333
165.671,0
150,28.0067
151.353,18.6552
156.025,12.3478
150.833,21.1448
150.943,20.7449
160.255,7.10526
161.21,4.32892
167.97,0
150.603,42.2169
152.798,24.1706
第3世代
f1,f2
146.96,0
131.483,32.2634
137.405,14
132.727,27.1067
142.682,5.62245
139.911,9.46667
145.853,3.91168
150.02,0
141.48,33.3349
141.512,21.4
143.401,9.70149
145.312,8.31325
146.288,6.14035
145.862,26.7701
146.822,22.479
150.105,9.02778
147.314,12.0339
150.949,2.57576
149.777,9.74684
154.108,0
147.487,13.0117
152.396,8.66667
149.928,10
151.185,9.74684
159.12,0
147.535,17.7273
157.893,3.07692
149.855,14.346
152.401,9.83735
157.247,4.79452
155.119,7.13043
155.99,4.83333
160.335,0
147.953,20.523
152.788,16.6
155.474,9.375
157.01,7.26027
153,14.0486
158.993,3.38028
149.977,17.0972
148.845,18.0602
158.585,6.54545
148.837,20.2055
153.028,11.7303
162.586,0
148.147,31.0748
150,28.0067
153.133,15.6007
150.833,21.1448
150.933,18.4184
第4世代
f1,f2
110.151,0
128.465,20.2328
142.682,5.62245
146.96,0
131.483,32.2634
145.853,3.91168
137.405,14
145.312,8.31325
132.727,27.1067
146.902,2.02158
146.449,3.69565
138.652,8.33333
150.02,0
139.911,9.46667
146.288,6.14035
151.263,0
141.48,33.3349
143.401,9.70149
150.105,9.02778
141.512,21.4
150.949,2.57576
152.732,0
143.88,31.9094
144.513,9.85075
149.777,9.74684
152.396,8.66667
153.047,0
146.822,22.479
147.09,10.2414
