第0世代
f1,f2
165.705,15.0602,0
161.47,16.3351,0
171.35,18.5718,1
170.053,25.354,1
150.967,41.424,1
162.068,28.1028,1
166.762,25.5589,1
165.463,27.5591,1
181.988,22.4203,2
174.958,23.1918,2
167.583,29.3314,2
153.226,53.7426,2
159.758,42.0406,2
158.307,47.449,2
162.818,30.4937,2
173.947,30.0971,3
161.71,60.5409,3
171.29,32.7916,3
164.4,37.2531,3
170.834,34.974,3
173.998,32.1707,4
168.017,47.3638,4
169.511,44.1224,4
169.984,39.5864,4
171.86,32.8738,4
178.454,36.1717,5
170.836,52.903,5
173.501,42.7553,5
176.327,40.0336,5
176.685,40.3588,6
172.855,57.2017,6
173.637,43.8701,6
174.835,43.126,6
174.741,55.9645,7
173.151,59.586,7
176.031,56.0888,8
173.203,70.5047,8
177.076,57.2341,9
174.97,106.418,9
176.199,65.8157,9
176.407,61.6751,9
178.102,59.4734,10
184.129,65.3786,11
121.323,44.8784,1
145.275,33.9992,1
122.725,45.6412,2
126.095,94.1126,3
138.265,56.2444,3
133.723,97.2108,4
144.573,87.4254,4
