第0世代
,f1,f2,front
150.63,3.02108,84,0
146.094,83.4559,100,0
148.068,28.4883,91,0
147.008,69.3431,100,0
149.245,22.4053,96,0
146.176,71.6324,97,0
150.158,10.8873,94,0
149.618,13.0077,86,0
149.331,18.7909,91,0
158.41,5.28798,85,1
148.676,62.1986,94,1
149.408,28.9287,99,1
152.973,5.82208,83,1
148.832,60.4035,93,1
149.649,18.7171,93,1
151.85,8.25708,80,1
150.473,11.6529,92,1
150.323,18.0466,99,1
151.355,10.8434,98,1
151.405,10.1297,93,1
157.34,6.04941,81,2
148.727,75.5816,91,2
150.088,19.9794,99,2
149.758,57.6717,89,2
152.36,9.78042,91,2
156.388,8.96519,94,2
150.958,11.8619,98,2
149.22,62.1378,83,2
149.169,70.5047,95,2
167.598,7.30809,81,3
148.764,90.3322,96,3
150.252,22.8168,87,3
150.163,64.1242,100,3
159.208,8.0241,82,3
151.01,12.9878,92,3
155.208,10.241,97,3
154.923,12.1116,86,3
159.043,8.43507,84,3
149.837,73.2855,97,3
148.895,80.7862,97,3
149.472,78.026,91,3
170.8,7.75997,85,4
149.678,83.651,93,4
150.375,64.7931,94,4
161.155,8.55626,94,4
151.074,27.5701,97,4
155.552,10.241,97,4
153.786,13.6621,84,4
151.09,20.0706,98,4
152.105,13.8498,93,4
151.277,16.0302,91,4
164.268,10.1153,81,5
151.186,86.7864,88,5
151.238,27.1344,91,5
158.73,10.2761,82,5
156.345,11.8999,86,5
154.533,15.8182,87,5
152.937,17.4887,92,5
155.462,14.4064,98,5
151.473,20.1739,83,5
152.085,17.7961,96,5
160.89,10.6367,82,6
151.253,59.9462,86,6
151.757,44.195,89,6
156.84,13.2754,94,6
151.927,26.7759,80,6
160.372,12.6074,86,6
155.128,16.039,81,6
152.515,22.7658,95,6
153.48,21.9204,91,6
154.525,17.8795,85,6
154.975,16.915,85,6
153.708,18.2367,100,6
153.57,20.0023,100,6
153.703,18.5544,98,6
163.933,12.1864,86,7
151.305,71.1064,84,7
161.58,12.5934,91,7
151.625,62.4374,88,7
157.298,13.3354,90,7
152.152,43.4548,99,7
152.393,40.7912,97,7
152.782,26.2735,94,7
156.973,17.352,86,7
155.163,17.5563,95,7
154.27,20.9918,97,7
153.507,22.0542,92,7
154.893,18.1319,94,7
152.978,23.1032,83,7
152.857,24.8079,94,7
171.268,12.9356,84,8
151.674,62.7009,93,8
152.254,57.0607,90,8
152.799,32.1262,100,8
162.442,13.0442,91,8
155.14,21.6003,86,8
152.93,25.8908,88,8
153.539,22.3357,82,8
157.653,17.4725,89,8
161.665,13.309,82,8
157.75,14.1275,85,8
159.59,13.4105,89,8
156.06,17.7833,88,8
155.467,18.3728,91,8
159.15,13.753,100,8
153.34,25.067,93,8
165.232,13.9624,87,9
152.007,96.4314,87,9
158.137,14.2419,84,9
153.077,30.0084,100,9
152.908,59.509,96,9
152.052,79.606,92,9
152.38,67.141,90,9
153.815,25.4438,94,9
155.252,21.9366,95,9
156.338,18.7823,81,9
152.658,61.4305,92,9
155.956,20.6533,90,9
156.255,18.9922,80,9
163.262,14.3806,92,10
152.338,86.5575,98,10
153.303,42.3698,81,10
159.717,14.9608,84,10
152.751,74.736,100,10
154.39,29.8472,83,10
162.363,14.3949,93,10
152.913,60.6202,91,10
158.188,16.7946,86,10
153.164,55.8897,93,10
155.398,22.1147,85,10
156.665,21.4778,97,10
157.335,20.1655,87,10
155.025,26.1631,82,10
167.07,15.6112,80,11
152.878,77.4431,97,11
161.655,16.5602,99,11
153.664,59.9261,91,11
153.336,74.4067,85,11
154.605,45.992,100,11
154.688,29.8962,94,11
153.876,47.2797,96,11
158.33,17.4038,90,11
155.085,27.3414,98,11
157.565,20.4156,89,11
155.554,22.7752,86,11
156.357,22.2421,83,11
158.188,19.9985,82,11
156.17,22.4073,87,11
158.253,18.8604,84,11
162.07,16.6921,96,12
152.914,83.3758,97,12
153.957,48.8973,99,12
153.377,75.9135,97,12
158.948,18.1953,86,12
154.958,44.5223,100,12
155.381,31.8083,97,12
158.653,22.9372,91,12
155.928,24.8413,81,12
156.99,23.5522,83,12
153.254,83.082,96,12
156.584,24.5991,80,12
156.825,23.8095,86,12
162.528,17.0062,93,13
153.174,86.9833,84,13
153.997,65.9669,86,13
154.232,51.1506,97,13
159.209,18.672,85,13
155.6,44.2982,100,13
156.652,24.6771,96,13
157.757,24.0761,95,13
155.986,31.3035,91,13
159.083,23.8966,83,13
155.763,35.666,83,13
164.278,17.3962,93,14
154.004,80.2025,98,14
155.918,40.2554,95,14
155.071,59.7428,97,14
161.985,19.009,86,14
158.549,24.1017,95,14
154.208,67.9284,97,14
160.427,19.8689,85,14
159.325,21.5952,87,14
157.311,29.4316,85,14
156.763,35.2528,99,14
154.707,65.2994,92,14
