第100世代
,f1,f2,front
151.09,0.60241,81,0
145.667,13.2916,100,0
150.307,4.21687,87,0
148.365,7.22891,92,0
145.71,10.241,97,0
147.133,8.43373,94,0
147.138,8.43373,94,0
149.355,4.81928,88,0
148.875,6.0241,90,0
145.695,10.9163,97,0
145.668,12.0482,100,0
145.672,12.0482,100,0
149.11,5.42169,89,0
149.11,5.42169,89,0
145.7,10.7543,97,0
145.7,10.241,97,0
第33世代
,f1,f2,front
145.682,70.0482,100,0
151.095,0.60241,81,0
145.69,14.4698,97,0
145.71,10.241,97,0
147.133,8.43373,94,0
150.307,4.21687,87,0
147.143,8.43373,94,0
148.365,7.22892,92,0
149.355,4.81928,88,0
148.875,6.0241,90,0
150.69,4.21687,87,0
151.09,3.86715,81,0
148.38,7.22891,92,0
149.12,5.42169,89,0
145.695,11.7864,97,0
145.7,10.7543,97,0
145.7,10.241,97,0
148.37,7.22892,92,0
